postal_code,raw_visit_counts,raw_visitor_counts
10019,858478,510218
10001,849828,519139
10036,767325,500164
10018,503868,302418
10003,489874,294139
10013,476868,308685
10022,464449,268552
10017,443467,246147
10016,431096,237911
10011,426637,254007
10007,367784,239003
10029,312183,158453
10027,302916,159585
10065,295952,156761
10002,292124,172663
10023,282675,162918
10025,274209,150372
10010,270456,151911
10012,259496,170089
10014,242665,150395
10024,239524,145544
10021,232550,120046
10038,224483,122143
10128,220391,120373
10028,209778,134065
10004,209231,114893
10032,198093,96686
11371,174125,81156
10035,165161,86486
10009,157185,94733
10033,154997,85053
10031,142887,71818
10026,127170,67958
10034,111037,57520
10005,96326,47972
10040,93682,47459
10039,86980,40690
11355,85973,32497
10006,83419,49336
10037,83362,39562
10075,82340,47839
10458,76486,38257
10020,72834,43356
10030,71786,35819
11201,68316,36156
10281,67819,30983
10454,66589,36622
10119,56371,35080
10453,56181,30899
10456,54009,23400
11207,51918,26801
10111,51171,33260
10282,49580,19693
11234,44802,21287
10451,43137,23209
10121,41015,26266
10314,39767,20128
10457,38267,18914
10460,34393,16477
10452,34036,18857
11208,33023,17836
10473,32862,17491
11230,32422,13751
11215,31392,16084
10306,30437,13761
10301,30256,15482
11233,30104,13800
11236,29782,11529
11368,29571,15717
11235,29077,14659
10309,29018,14211
10469,28600,15730
10463,27118,13172
10461,26481,12427
10462,25535,13186
10169,25054,12530
10459,24834,11959
11430,23082,17496
10112,22484,17676
10308,22215,8584
11211,21970,13979
10312,21041,8749
11213,18630,9346
10118,18465,13203
11226,18424,6788
10044,18360,9200
10280,18181,10163
10475,18064,8211
11373,17732,10319
10455,17667,9334
11212,17038,7051
11209,16648,8105
11377,16361,8802
11214,16038,7751
10474,15896,5233
10468,15574,6829
10305,15364,6251
11375,15088,6184
11372,14849,6857
11222,14689,9174
11231,14319,7615
10069,13906,5968
11228,13693,5785
10304,13664,4909
11421,13653,6374
10960,12952,9212
11692,12931,4548
10115,12629,4464
10472,12590,5486
10079,12585,5820
11354,12535,7287
10467,12525,5888
11223,12415,5279
11239,12330,6182
11422,12240,5233
11229,12010,5566
11439,11780,2241
11427,11203,5368
10041,11042,3446
11224,10725,5299
10466,10489,4497
11429,10478,4255
11221,10362,4265
10465,10238,5187
10307,10110,3040
11225,10028,6050
10103,9919,7200
11238,9774,5917
11436,9595,4798
11385,9570,4082
11210,9333,4209
11220,9269,4970
11691,8729,3265
10120,8716,5848
10123,8688,6260
11694,8639,3266
11204,8326,3428
11432,8117,4027
11433,8094,3602
11102,8057,4392
11434,7892,3711
11435,7714,3030
11379,7697,3001
11105,7681,3363
11420,7643,3711
11216,7241,3393
10311,7237,1650
10303,7111,3437
10151,6912,3664
11101,6865,3451
10153,6788,3515
11365,6759,2176
11367,6648,2947
10167,6646,2326
11413,6545,3120
11232,6496,3268
11417,6483,2624
11361,6454,2609
11414,5968,2991
11416,5829,2242
10154,5756,2406
11237,5457,2294
11360,5351,2034
11205,5243,2264
11219,5226,2469
10104,5127,2155
11356,4974,1898
10464,4885,2572
10110,4783,3001
10174,4727,2869
10168,4657,3158
10165,4612,1799
11357,4385,1879
11693,4372,1804
10302,4367,1621
10170,4234,2086
10271,4230,1616
10107,4152,2818
10278,4130,1957
11203,4039,1963
10105,3995,1995
11364,3779,1361
11369,3760,1821
10471,3724,1617
11206,3687,1466
11362,3671,1511
11106,3650,1664
11103,3590,1822
11426,3532,1639
10172,3489,1894
10177,3321,1754
10310,3265,1399
11378,3210,1508
11218,3164,1951
11411,3151,1328
11423,3063,892
10279,3020,1475
11358,2965,1199
10175,2782,1369
10080,2768,1094
11217,2743,1553
10176,2615,1560
10163,2507,658
10178,2435,1116
11104,2339,1178
11249,2311,1381
10173,2235,1105
11419,2219,920
11363,2193,892
10158,2136,905
11370,2096,784
10162,1998,997
11415,1988,946
11418,1962,646
11374,1939,1101
11428,1908,845
10008,1850,487
11412,1823,809
10055,1668,816
10152,1444,613
10199,1395,386
10184,1097,810
11451,912,408
10122,768,487
10155,701,264
12065,690,269
10927,670,220
11096,628,216
11227,405,212
11030,324,244
11788,179,96
11424,141,81
11252,133,94
10166,111,97
10108,108,65
12977,99,43
10286,86,75
10048,77,61
11028,69,60
10116,67,39
14516,47,32
10043,40,28
14534,39,8
10078,38,34
7002,26,21
11019,14,14
10150,11,8
11366,10,8
10129,9,4
10470,7,5
10171,6,3
11109,6,5
12734,4,4
11242,2,2
10156,1,1
