postal_code,raw_visit_counts,raw_visitor_counts,j_borough
"11363","1291","517",Queens
"11369","1252","544",Queens
"11430","1223","643",
"10471","1204","512",Bronx
"10311","1178","286",
"11426","1174","494",Queens
"11357","1138","483",Queens
"11206","1116","474",Brooklyn
"10169","1103","596",
"11414","1038","633",Queens
"11218","1020","662",Brooklyn
"10112","1008","537",
"10310","992","397",Staten Island
"10278","926","475",
"11428","919","414",Queens
"10120","898","640",
"11423","853","241",Queens
"10199","845","140",
"11411","789","340",Queens
"10080","737","269",
"11418","620","198",Queens
"11104","614","331",Queens
"10041","610","225",
"10162","594","210",
"11415","578","287",Queens
"11217","531","344",Brooklyn
"10118","519","293",
"11374","464","233",Queens
"11370","463","192",Queens
"10168","461","348",
"11419","461","208",Queens
"10008","436","91",
"11412","431","211",Queens
"11096","397","106",
"10170","379","133",
"11249","358","231",
"10174","346","226",
"12065","333","178",
"10107","268","163",
"11227","264","129",
"10104","261","126",
"10154","261","113",
"10927","240","62",
"10103","231","108",
"10123","229","176",
"10158","204","96",
"10153","180","108",
"10110","176","144",
"10151","176","112",
"10271","172","97",
"10177","162","107",
"10178","144","88",
"10163","128","52",
"10105","116","54",
"10173","115","74",
"11451","111","50",
"10167","105","44",
"10165","103","53",
"10175","102","43",
"10279","88","42",
"11439","84","56",
"10172","80","41",
"10116","79","24",
"10176","76","60",
"10055","61","22",
"11252","57","44",
"10122","53","40",
"11030","53","41",
"10108","38","11",
"10152","32","16",
"11788","32","28",
"10184","30","28",
"10048","25","14",
"11424","23","20",
"14516","21","13",
"12977","13","11",
"11028","10","8",
"7002","9","9",
"10286","9","6",
"11366","7","2",Queens
"12734","6","3",
"10078","4","4",
"10166","4","4",
"10470","4","3",Bronx
"10043","3","1",
"11019","3","2",
"14534","3","3",
"10150","1","1",
"11109","1","1",Queens
