postal_code,raw_visit_counts,raw_visitor_counts,j_borough
"10007","102995","67562",Manhattan
"10029","96866","49134",Manhattan
"10001","86500","43286",Manhattan
"10019","79229","38967",Manhattan
"10016","67072","31837",Manhattan
"10025","64886","33761",Manhattan
"10065","64467","28861",Manhattan
"10027","61727","33545",Manhattan
"10002","61367","31763",Manhattan
"10003","58299","32384",Manhattan
"10032","53298","25558",Manhattan
"10035","53088","26356",Manhattan
"10021","50442","20241",Manhattan
"10036","49056","24924",Manhattan
"10128","45569","24441",Manhattan
"10022","43209","24586",Manhattan
"10018","40965","22153",Manhattan
"10013","38060","22259",Manhattan
"10031","37441","19619",Manhattan
"10009","36661","18536",Manhattan
"10038","36009","19675",Manhattan
"10023","35840","18162",Manhattan
"10033","34992","19613",Manhattan
"10011","34191","19297",Manhattan
"10034","33624","16760",Manhattan
"10026","33069","18407",Manhattan
"10024","30839","16606",Manhattan
"10039","30303","14384",Manhattan
"10458","29386","15074",Bronx
"10457","29099","17752",Bronx
"10028","28980","15876",Manhattan
"10010","28930","15926",Manhattan
"10017","28018","15468",Manhattan
"10456","27695","17944",Bronx
"10037","27194","12834",Manhattan
"10040","27026","14123",Manhattan
"10014","24402","14291",Manhattan
"10012","24047","15051",Manhattan
"10030","22889","12169",Manhattan
"11234","19043","9181",Brooklyn
"10306","17505","7892",Staten Island
"10453","16330","10183",Bronx
"11208","16171","9099",Brooklyn
"11355","15878","5316",Queens
"10004","15069","7835",Manhattan
"11215","14627","7759",Brooklyn
"10075","14580","7578",Manhattan
"11371","13192","3801",
"11236","12844","5174",Brooklyn
"11235","12387","6020",Brooklyn
"10314","12066","5180",Staten Island
"10309","12026","5804",Staten Island
"11207","11892","6564",Brooklyn
"10044","11836","6461",Manhattan
"11368","11628","5317",Queens
"11201","11558","5639",Brooklyn
"11230","11550","5935",Brooklyn
"10308","11313","4955",Staten Island
"11211","10986","6843",Brooklyn
"10460","10983","5813",Bronx
"10451","10801","5767",Bronx
"10005","10290","4685",Manhattan
"10305","10082","4518",Staten Island
"11209","10056","5037",Brooklyn
"10474","9823","3352",Bronx
"10461","9817","4034",Bronx
"10454","9471","5212",Bronx
"10463","9011","5146",Bronx
"11233","8569","3934",Brooklyn
"10469","8554","4148",Bronx
"10462","8252","4169",Bronx
"10312","8202","3715",Staten Island
"11214","7773","4456",Brooklyn
"10473","7769","3528",Bronx
"10301","6364","2796",Staten Island
"11373","6308","3281",Queens
"10459","6098","2595",Bronx
"10452","5881","3216",Bronx
"11212","5830","1944",Brooklyn
"10475","5811","2648",Bronx
"10472","5678","3183",Bronx
"10006","5622","3060",Manhattan
"11377","5558","2985",Queens
"11213","5474","2798",Brooklyn
"11692","5388","2199",Queens
"10455","5334","2838",Bronx
"11422","5331","2787",Queens
"10466","5157","2346",Bronx
"10467","5063","2239",Bronx
"11222","5023","3165",Brooklyn
"11421","4978","2352",Queens
"10465","4951","2669",Bronx
"10304","4888","1915",Staten Island
"11372","4731","2127",Queens
"11226","4724","2106",Brooklyn
"11224","4678","2280",Brooklyn
"11375","4653","2198",Queens
"11427","4597","1862",Queens
"11432","4597","2267",Queens
"11239","4436","1864",Brooklyn
"11229","4411","2145",Brooklyn
"10282","4193","1960",Manhattan
"11429","4154","1921",Queens
"11228","4150","2103",Brooklyn
"10069","3993","1580",Manhattan
"11379","3942","1794",Queens
"11434","3940","2000",Queens
"11210","3821","2170",Brooklyn
"11356","3777","1412",Queens
"11691","3698","1644",Queens
"11220","3591","1607",Brooklyn
"11436","3452","1774",Queens
"11694","3408","1516",Queens
"11223","3381","1474",Brooklyn
"10280","3378","1823",Manhattan
"10307","3352","1677",Staten Island
"11231","3330","1480",Brooklyn
"11413","3313","1816",Queens
"10119","3294","1715",
"10303","3237","1341",Staten Island
"11221","3224","1551",Brooklyn
"10281","3130","1392",
"11219","3103","1738",Brooklyn
"10121","3040","1385",
"11102","3030","1431",Queens
"10020","3023","1559",Manhattan
"11238","2926","1924",Brooklyn
"10468","2916","1637",Bronx
"11204","2862","1108",Brooklyn
"11385","2815","1635",Queens
"11105","2702","1297",Queens
"11358","2626","1134",Queens
"10960","2562","1443",
"11360","2530","1157",Queens
"11232","2490","1127",Brooklyn
"11103","2457","1249",Queens
"11433","2427","1119",Queens
"11354","2311","974",Queens
"11693","2288","1032",Queens
"11106","2208","1344",Queens
"10464","2088","934",Bronx
"11361","2086","989",Queens
"10111","2052","713",
"11420","1954","917",Queens
"11365","1911","805",Queens
"10079","1876","851",
"11203","1872","763",Brooklyn
"11205","1858","940",Brooklyn
"11367","1810","784",Queens
"11435","1807","862",Queens
"11416","1780","741",Queens
"11378","1736","888",Queens
"11362","1732","742",Queens
"11417","1717","737",Queens
"11364","1643","547",Queens
"11101","1591","842",Queens
"11216","1582","876",Brooklyn
"10302","1546","561",Staten Island
"11237","1511","710",Brooklyn
"10115","1451","622",
"11225","1325","740",Brooklyn
