j_borough,postal_code,raw_visit_counts,raw_visitor_counts
Bronx,261575,690187,345459
Brooklyn,415151,650153,319283
Manhattan,451740,11775593,6827905
Queens,648609,475529,210343
Staten Island,123681,226615,101572
