postal_code,raw_visit_counts,raw_visitor_counts,j_borough
"10019","858478","510218",Manhattan
"10001","849828","519139",Manhattan
"10036","767325","500164",Manhattan
"10018","503868","302418",Manhattan
"10003","489874","294139",Manhattan
"10013","476868","308685",Manhattan
"10022","464449","268552",Manhattan
"10017","443467","246147",Manhattan
"10016","431096","237911",Manhattan
"10011","426637","254007",Manhattan
"10007","367784","239003",Manhattan
"10029","312183","158453",Manhattan
"10027","302916","159585",Manhattan
"10065","295952","156761",Manhattan
"10002","292124","172663",Manhattan
"10023","282675","162918",Manhattan
"10025","274209","150372",Manhattan
"10010","270456","151911",Manhattan
"10012","259496","170089",Manhattan
"10014","242665","150395",Manhattan
"10024","239524","145544",Manhattan
"10021","232550","120046",Manhattan
"10038","224483","122143",Manhattan
"10128","220391","120373",Manhattan
"10028","209778","134065",Manhattan
"10004","209231","114893",Manhattan
"10032","198093","96686",Manhattan
"11371","174125","81156",
"10035","165161","86486",Manhattan
"10009","157185","94733",Manhattan
"10033","154997","85053",Manhattan
"10031","142887","71818",Manhattan
"10026","127170","67958",Manhattan
"10034","111037","57520",Manhattan
"10005","96326","47972",Manhattan
"10040","93682","47459",Manhattan
"10039","86980","40690",Manhattan
"11355","85973","32497",Queens
"10006","83419","49336",Manhattan
"10037","83362","39562",Manhattan
"10075","82340","47839",Manhattan
"10458","76486","38257",Bronx
"10020","72834","43356",Manhattan
"10030","71786","35819",Manhattan
"11201","68316","36156",Brooklyn
"10281","67819","30983",
"10454","66589","36622",Bronx
"10119","56371","35080",
"10453","56181","30899",Bronx
"10456","54009","23400",Bronx
"11207","51918","26801",Brooklyn
"10111","51171","33260",
"10282","49580","19693",Manhattan
"11234","44802","21287",Brooklyn
"10451","43137","23209",Bronx
"10121","41015","26266",
"10314","39767","20128",Staten Island
"10457","38267","18914",Bronx
"10460","34393","16477",Bronx
"10452","34036","18857",Bronx
"11208","33023","17836",Brooklyn
"10473","32862","17491",Bronx
"11230","32422","13751",Brooklyn
"11215","31392","16084",Brooklyn
"10306","30437","13761",Staten Island
"10301","30256","15482",Staten Island
"11233","30104","13800",Brooklyn
"11236","29782","11529",Brooklyn
"11368","29571","15717",Queens
"11235","29077","14659",Brooklyn
"10309","29018","14211",Staten Island
"10469","28600","15730",Bronx
"10463","27118","13172",Bronx
"10461","26481","12427",Bronx
"10462","25535","13186",Bronx
"10169","25054","12530",
"10459","24834","11959",Bronx
"11430","23082","17496",
"10112","22484","17676",
"10308","22215","8584",Staten Island
"11211","21970","13979",Brooklyn
"10312","21041","8749",Staten Island
"11213","18630","9346",Brooklyn
"10118","18465","13203",
"11226","18424","6788",Brooklyn
"10044","18360","9200",Manhattan
"10280","18181","10163",Manhattan
"10475","18064","8211",Bronx
"11373","17732","10319",Queens
"10455","17667","9334",Bronx
"11212","17038","7051",Brooklyn
"11209","16648","8105",Brooklyn
"11377","16361","8802",Queens
"11214","16038","7751",Brooklyn
"10474","15896","5233",Bronx
"10468","15574","6829",Bronx
"10305","15364","6251",Staten Island
"11375","15088","6184",Queens
"11372","14849","6857",Queens
"11222","14689","9174",Brooklyn
"11231","14319","7615",Brooklyn
"10069","13906","5968",Manhattan
"11228","13693","5785",Brooklyn
"10304","13664","4909",Staten Island
"11421","13653","6374",Queens
"10960","12952","9212",
"11692","12931","4548",Queens
"10115","12629","4464",
"10472","12590","5486",Bronx
"10079","12585","5820",
"11354","12535","7287",Queens
"10467","12525","5888",Bronx
"11223","12415","5279",Brooklyn
"11239","12330","6182",Brooklyn
"11422","12240","5233",Queens
