j_borough,postal_code,raw_visit_counts,raw_visitor_counts
Bronx,261575,237176,126942
Brooklyn,415151,225725,113734
Manhattan,451740,1743534,914956
Queens,648609,160585,73123
Staten Island,123681,91573,40751
