borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AR_1,SHAPE_LEN,20_placeke,20_parent_,20_locatio,20_street_,20_city,20_region,20_safegra,20_brands,20_date_ra,20_date__1,20_raw_vis,20_raw_v_1,20_conc_ad
3.0000000000000000000000000000000,Brooklyn,"047",BK43,Midwood,35799637.8103000000119209289550781250000,27996.5912735999991127755492925643921,"11210","0",Brooklyn,67067.00000000,47887022.99216040,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wg4-d9z,,Master Bharath,2910 1a Glenwood Rd,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"72","64","2910 1a Glenwood Rd, New York, NY, 11210"
3.0000000000000000000000000000000,Brooklyn,"047",BK43,Midwood,35799637.8103000000119209289550781250000,27996.5912735999991127755492925643921,"11230","0",Brooklyn,80857.00000000,49926703.39331720,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-wdh-n3q,,Kolbert Playground,1706 Avenue L,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"389","159","1706 Avenue L, New York, NY, 11230"
3.0000000000000000000000000000000,Brooklyn,"047",BK43,Midwood,35799637.8103000000119209289550781250000,27996.5912735999991127755492925643921,"11229","0",Brooklyn,79608.00000000,60119326.14426950,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wdk-g49,,Kelly Playground,Avenue S And E 14th St,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"266","83","Avenue S And E 14th St, New York, NY, 11229"
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11206","0",Brooklyn,83575.00000000,40700720.97272910,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzw-223@627-s93-cnq,,iBroke Repairs,879 Boardway,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"3","3","879 Boardway, New York, NY, 11206"
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11205","0",Brooklyn,41125.00000000,23270147.94976230,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-s8y-zvf,,Commodore Barry Pool,19 N Elliott Pl Flushing St,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"21","16","19 N Elliott Pl Flushing St, New York, NY, 11205"
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11238","0",Brooklyn,46664.00000000,29429423.46147940,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-s8y-sh5,,Bed Stuy Bounty,343 Franklin Ave Bedford Hill,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"161","125","343 Franklin Ave Bedford Hill, New York, NY, 11238"
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11221","0",Brooklyn,80232.00000000,38580480.43430750,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s8v-j5f,,Lafayette Playground,1037 1063 Lafayette Avenue,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"239","92","1037 1063 Lafayette Avenue, New York, NY, 11221"
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11216","0",Brooklyn,53862.00000000,26478229.26344330,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-s8v-dsq,,McDonald's,1275 Fulton Steet,New York,NY,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"213","173","1275 Fulton Steet, New York, NY, 11216"
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11211","0",Brooklyn,60861.00000000,40470881.67128340,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-223@627-s96-yn5,,Birria Landia Williamsburg,495 Metropolian Ave,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"3","3","495 Metropolian Ave, New York, NY, 11211"
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11249","0",Brooklyn,28481.00000000,17772206.17012020,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s96-dsq,,Classon Triangle,Classon Triangle,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"103","64","Classon Triangle, New York, NY, 11249"
