borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AR_1,SHAPE_LEN,21_placeke,21_parent_,21_locatio,21_street_,21_city,21_region,21_date_ra,21_date__1,21_raw_vis,21_raw_v_1,21_conc_ac
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11219","0",Brooklyn,92561.00000000,42002738.46723040,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wgt-tvz,,Tacos El Bronco,39th St & 9th Ave,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"71","47","39th St & 9th Ave, New York, NY, 11219"
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11230","0",Brooklyn,80857.00000000,49926703.39331720,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-223@627-wdh-jgk,,Zoura & Zeev,1318 Ave,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"67","57","1318 Ave, New York, NY, 11230"
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11204","0",Brooklyn,77354.00000000,43555184.61328500,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,23f-222@627-wgw-jqf,,Driveway Leasing,1701 62 St,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"154","62","1701 62 St, New York, NY, 11204"
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11232","0",Brooklyn,29521.00000000,55879065.15026980,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-wgt-v4v,,Gonzalo Plasencia Playground,320 34 Street,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"295","159","320 34 Street, New York, NY, 11232"
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11220","0",Brooklyn,97257.00000000,47453785.79063740,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wh2-789,,Sunoco,6102 4th Ave & 61st Street,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"177","74","6102 4th Ave & 61st Street, New York, NY, 11220"
3.0000000000000000000000000000000,Brooklyn,"047",BK96,Rugby-Remsen Village,32706946.4034999981522560119628906250000,30957.8533949000011489260941743850708,"11213","0",Brooklyn,62426.00000000,29631004.43793900,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-s95-vj9,,Esayi Health & Beauty,298 Broadway Ave,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"11","11","298 Broadway Ave, New York, NY, 11213"
3.0000000000000000000000000000000,Brooklyn,"047",BK96,Rugby-Remsen Village,32706946.4034999981522560119628906250000,30957.8533949000011489260941743850708,"11212","0",Brooklyn,83866.00000000,41972104.07141980,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wg7-djv,,Big Apple Stars,0 New Lots Avenue,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"63","44","0 New Lots Avenue, New York, NY, 11212"
3.0000000000000000000000000000000,Brooklyn,"047",BK96,Rugby-Remsen Village,32706946.4034999981522560119628906250000,30957.8533949000011489260941743850708,"11203","0",Brooklyn,78060.00000000,60644835.45615650,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wg9-m6k,,Wingate Field,Brooklyn Ave,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"142","106","Brooklyn Ave, New York, NY, 11203"
3.0000000000000000000000000000000,Brooklyn,"047",BK96,Rugby-Remsen Village,32706946.4034999981522560119628906250000,30957.8533949000011489260941743850708,"11236","0",Brooklyn,94480.00000000,96373991.62010460,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wg6-t9z,,Remsen Playground,9001 9099 Glenwood Road,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"53","34","9001 9099 Glenwood Road, New York, NY, 11236"
3.0000000000000000000000000000000,Brooklyn,"047",BK96,Rugby-Remsen Village,32706946.4034999981522560119628906250000,30957.8533949000011489260941743850708,"11234","0",Brooklyn,85853.00000000,206201040.08797300,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-224@627-wgr-jd9,zzz-222@627-wgq-kzz,Mobil,6000 Shore Pkwy,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"253","232","6000 Shore Pkwy, New York, NY, 11234"
4.0000000000000000000000000000000,Queens,"081",QN52,East Flushing,29454379.9662999995052814483642578125000,25843.3649556999989727046340703964233,"11358","0",Flushing,37743.00000000,54622541.08573670,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s9c-3t9,,The Olde Towne Of Flushing Burial Ground,The Olde Towne of Flushing Burial Ground,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"512","148","The Olde Towne of Flushing Burial Ground, New York, NY, 11358"
4.0000000000000000000000000000000,Queens,"081",QN52,East Flushing,29454379.9662999995052814483642578125000,25843.3649556999989727046340703964233,"11355","0",Flushing,82809.00000000,49383079.08394500,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s9b-73q,,Kissena Park,164 01 Booth Memorial Ave,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"2055","1088","164 01 Booth Memorial Ave, New York, NY, 11355"
4.0000000000000000000000000000000,Queens,"081",QN52,East Flushing,29454379.9662999995052814483642578125000,25843.3649556999989727046340703964233,"11365","0",Fresh Meadows,40528.00000000,69385865.59473890,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-rzq-bzf,222-223@627-rzq-bp9,Fresh Meadows Park,Fresh Meadows Park,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"213","169","Fresh Meadows Park, New York, NY, 11365"
4.0000000000000000000000000000000,Queens,"081",QN53,Woodhaven,37001316.6275999993085861206054687500000,28070.5855483999985153786838054656982,"11385","0",Ridgewood,98436.00000000,124786310.90785700,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s93-ht9,,Nyc Open Space 287,Nyc Open Space 287,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"283","91","Nyc Open Space 287, New York, NY, 11385"
4.0000000000000000000000000000000,Queens,"081",QN53,Woodhaven,37001316.6275999993085861206054687500000,28070.5855483999985153786838054656982,"11208","0",Brooklyn,94410.00000000,79303684.26399100,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s84-xdv,,Ps 72 Annette P Goldman,PS 72 Annette P Goldman,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"332","187","PS 72 Annette P Goldman, New York, NY, 11208"
4.0000000000000000000000000000000,Queens,"081",QN53,Woodhaven,37001316.6275999993085861206054687500000,28070.5855483999985153786838054656982,"11417","0",Ozone Park,28562.00000000,31099087.10790810,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s88-c89,,Nyc Open Space,Nyc Open Space,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"688","334","Nyc Open Space, New York, NY, 11417"
4.0000000000000000000000000000000,Queens,"081",QN53,Woodhaven,37001316.6275999993085861206054687500000,28070.5855483999985153786838054656982,"11418","0",Richmond Hill,36607.00000000,32025130.92279120,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s87-w6k,,Maurice A Fitzgerald Playground,Maurice A Fitzgerald Playground,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"286","113","Maurice A Fitzgerald Playground, New York, NY, 11418"
4.0000000000000000000000000000000,Queens,"081",QN53,Woodhaven,37001316.6275999993085861206054687500000,28070.5855483999985153786838054656982,"11421","0",Woodhaven,39014.00000000,24314441.76390820,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s7m-nqz,,Forest Park,80 30 Park Lane,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"4066","2051","80 30 Park Lane, New York, NY, 11421"
4.0000000000000000000000000000000,Queens,"081",QN53,Woodhaven,37001316.6275999993085861206054687500000,28070.5855483999985153786838054656982,"11416","0",Ozone Park,25423.00000000,18854849.80130320,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s87-fmk,,Ampere Playground,97 16 83 Street,New York,NY,2021-04-01T00:00:00-04:00,2021-05-01T00:00:00-04:00,"423","200","97 16 83 Street, New York, NY, 11416"
