borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,asian,total_pop,inc_as,med_rent,ann_rent,perc_as,perc_inc,j_Geo_GEOI,j_Geo_COUN,j_total_po,j_asian,j_inc_as,j_med_rent
3.0000000000000000000000000000000,Brooklyn,"047",BK34,Sunset Park East,27125857.4098999984562397003173828125000,25948.7680150999985926318913698196411,"36","047","012600","36047012600","126",Census Tract 126,G5020,S,"235982","0","+40.6348190","-074.0190415",1000.000,2838.000,43542.000,1427.000,17124.000,35.236,39.328,14000US36047012600,"47","2838","1000","43542","1427"
1.0000000000000000000000000000000,Manhattan,"061",MN27,Chinatown,14501953.1040000002831220626831054687500,20788.8889722999992955010384321212769,"36","061","000600","36061000600","6",Census Tract 6,G5020,S,"240406","176018","+40.7102579","-073.9880558",5860.000,9838.000,14996.000,571.000,6852.000,59.565,45.692,14000US36061000600,"61","9838","5860","14996","571"
3.0000000000000000000000000000000,Brooklyn,"047",BK32,Sunset Park West,50067191.2565999999642372131347656250000,84583.6112985000072512775659561157227,"36","047","005300","36047005300","53",Census Tract 53,G5020,S,"1651843","5374846","+40.6708307","-074.0291182",68.000,2167.000,112000.000,1945.000,23340.000,3.138,20.839,14000US36047005300,"47","2167","68","112000","1945"
4.0000000000000000000000000000000,Queens,"081",QN22,Flushing,37864843.0490000024437904357910156250000,38363.9700068000020110048353672027588,"36","081","116300","36081116300","1163",Census Tract 1163,G5020,S,"251471","0","+40.7638178","-073.8192084",5861.000,9346.000,31711.000,1502.000,18024.000,62.711,56.838,14000US36081116300,"81","9346","5861","31711","1502"
