postal_code,raw_visit_counts,raw_visitor_counts
10001,849828,519139
10002,292124,172663
10003,489874,294139
10004,209231,114893
10005,96326,47972
10006,83419,49336
10007,367784,239003
10009,157185,94733
10010,270456,151911
10011,426637,254007
10012,259496,170089
10013,476868,308685
10014,242665,150395
10016,431096,237911
10017,443467,246147
10018,503868,302418
10019,858478,510218
10020,72834,43356
10021,232550,120046
10022,464449,268552
10023,282675,162918
10024,239524,145544
10025,274209,150372
10026,127170,67958
10027,302916,159585
10028,209778,134065
10029,312183,158453
10030,71786,35819
10031,142887,71818
10032,198093,96686
10033,154997,85053
10034,111037,57520
10035,165161,86486
10036,767325,500164
10037,83362,39562
10038,224483,122143
10039,86980,40690
10040,93682,47459
10044,18360,9200
10065,295952,156761
10069,13906,5968
10075,82340,47839
10128,220391,120373
10280,18181,10163
10282,49580,19693
11101,6865,3451
11102,8057,4392
11103,3590,1822
11104,2339,1178
11105,7681,3363
11106,3650,1664
11109,6,5
11201,68316,36156
11203,4039,1963
11204,8326,3428
11205,5243,2264
11206,3687,1466
11207,51918,26801
11208,33023,17836
11209,16648,8105
11210,9333,4209
11211,21970,13979
11212,17038,7051
11213,18630,9346
11214,16038,7751
11215,31392,16084
11216,7241,3393
11217,2743,1553
11218,3164,1951
11219,5226,2469
11220,9269,4970
11221,10362,4265
11222,14689,9174
11223,12415,5279
11224,10725,5299
11225,10028,6050
11226,18424,6788
11228,13693,5785
11229,12010,5566
11230,32422,13751
11231,14319,7615
11232,6496,3268
11233,30104,13800
11234,44802,21287
11235,29077,14659
11236,29782,11529
11237,5457,2294
11238,9774,5917
11239,12330,6182
11354,12535,7287
11355,85973,32497
11356,4974,1898
11357,4385,1879
11358,2965,1199
11360,5351,2034
11361,6454,2609
11362,3671,1511
11363,2193,892
11364,3779,1361
11365,6759,2176
11366,10,8
11367,6648,2947
11368,29571,15717
11369,3760,1821
11370,2096,784
11372,14849,6857
11373,17732,10319
11374,1939,1101
11375,15088,6184
11377,16361,8802
11378,3210,1508
11379,7697,3001
11385,9570,4082
11411,3151,1328
11412,1823,809
11413,6545,3120
11414,5968,2991
11415,1988,946
11416,5829,2242
11417,6483,2624
11418,1962,646
11419,2219,920
11420,7643,3711
11421,13653,6374
11422,12240,5233
11423,3063,892
11426,3532,1639
11427,11203,5368
11428,1908,845
11429,10478,4255
11432,8117,4027
11433,8094,3602
11434,7892,3711
11435,7714,3030
11436,9595,4798
11691,8729,3265
11692,12931,4548
11693,4372,1804
11694,8639,3266
